id,instrumentalness,energy,loudness,danceability,liveness,speechiness,Cluster
7yq4Qj7cqayVTp3FF9CWbm,0.0,0.7057256990679095,0.6868625668989197,0.4489361702127659,0.2762082652346486,0.04038946988820773,1
0SzvmWfOhoxZVGrmvb56YL,0.0,0.5246338215712383,0.4173482782995054,0.40212765957446805,0.353257062806444,0.02884962134871981,2
7HW5WIw7ZgZORCzUxv5gW5,5.857142857142857e-06,0.8561917443408789,0.47177622942542674,0.9702127659574467,0.0646742937193556,0.02776776054814281,1
6dGnYIeXmHdcikdzNNDMm2,0.005061224489795919,0.45139813581890814,0.30415025749772817,0.6042553191489362,0.3415830025682932,0.02884962134871981,2
5IhzJOXNE7ki0IIJbZbnGq,7.122448979591838e-05,0.5592543275632491,0.6418257093809958,0.7021276595744681,0.20149427971048325,0.0,1
2Y6uY65ZwKl9WbVOvKyZg6,8.73469387755102e-06,0.9707057256990679,0.9951529839442594,0.6000000000000001,0.13331776791968244,0.03966822935448973,1
2RlgNHKcydI9sayD2Df2xp,7.612244897959184e-06,0.18242343541944073,0.34757144299707177,0.24468085106382975,0.5026850338547747,0.022358456545257838,2
6vFsBXYczYsP0H3lgunZOm,5.346938775510204e-05,0.9693741677762984,1.0,0.774468085106383,0.7268269904272705,0.08077893977641544,0
2x8evxqUlF0eRabbW2JBJd,0.0002938775510204082,0.8348868175765645,0.8198525699283047,0.8106382978723405,0.2084987158533738,0.005048683736025961,1
1G391cbiT3v3Cywg8T7DM1,0.005591836734693877,0.6870838881491346,0.8778148035948703,0.6851063829787234,0.17581134718655148,0.010097367472051921,1
1FkoVC85Ds3mFoK0fVqEqP,0.0,0.8801597869507323,0.5958800363526205,0.45744680851063824,0.761849171141723,0.0753696357735305,0
0tZ3mElWcr74OOhKEiNz1x,0.1226530612244898,0.9560585885486019,0.6265778047056448,0.29574468085106376,0.9136119542376837,0.567255679769203,0
4gHnSNHs8RyVukKoWdS99f,0.536734693877551,0.0,0.04564273452489154,0.327659574468085,0.17814615923418162,0.018031013342949875,2
2g7gviEeJr6pyxO7G35EWQ,0.0,0.8934753661784287,0.5951731798444917,0.1127659574468085,0.9999999999999999,0.3436711143166246,0
2PzU4IB8Dr6mxV3lHuaG34,0.0646938775510204,0.881491344873502,0.5660910835100477,0.9574468085106382,0.22250758813915475,0.025604038946988816,1
5UWwZ5lm5PKu6eKsHAGxOk,0.0006285714285714286,0.9054593874833554,0.8032919317378573,0.2978723404255319,0.11160401587672192,0.036062026685899765,1
0nFKHCf1Ibij8m370l2KlZ,0.0007285714285714286,0.6498002663115845,0.5188326769665759,0.7617021276595743,0.16180247490077046,0.006130544536602958,1
3d9DChrdc6BOeFsbrZ3Is0,0.0002142857142857143,0.1917443408788282,0.0,0.6085106382978724,0.25286014475834684,0.06923909123692752,2
6IMlcKjsIM3l3yXWykTa3y,0.07755102040816327,0.3821571238348868,0.3233363627183683,0.953191489361702,0.3439178146159233,0.145329967544176,2
1jzDzZWeSDBg5fhNc3tczV,0.008387755102040817,0.5725699067909453,0.20014137130162601,0.3319148936170212,0.33224375437777254,0.18103137396321672,2
1qRA5BS78u3gME0loMl9AA,0.042653061224489794,0.42343541944074564,0.3364636978693327,0.8085106382978724,0.15946766285314032,0.08294266137756943,2
4aVuWgvD0X63hcOCnZtNFA,0.12612244897959185,0.9280958721704393,0.878420680601838,0.42553191489361697,0.32757413028251214,0.10602235845654524,1
3qiyyUfYe7CRYLucrPmulD,0.3775510204081633,0.696404793608522,0.5179238614561245,0.4595744680851064,0.593742703712351,0.03065272268301479,0
59WN2psjkt1tyaxjspN8fp,0.0,0.8415446071904127,0.9371907502776937,0.4106382978723404,0.0,1.0,1
45Ia1U4KtIjAPPU7Wv1Sea,0.022244897959183673,0.6245006657789614,0.3205089366858529,0.7361702127659575,0.6964744338080784,0.031013342949873776,0
3QZ7uX97s82HFYSmQUAN1D,0.037959183673469385,0.9320905459387483,0.634656164798546,0.5595744680851065,0.06374036890030352,0.038586368553912745,1
5FqYA8KfiwsQvyBI4IamnY,0.0007693877551020409,0.8442077230359519,0.7348278299505201,0.6361702127659574,0.0875554517861312,0.018031013342949875,1
70YvYr2hGlS01bKRIho1HM,0.062040816326530614,0.5845539280958723,0.35938604463293977,0.5787234042553193,0.381274807378006,0.7115037865128021,2
40riOy7x9W7GXjyGp4pjAv,0.0010081632653061224,0.4087882822902796,0.40512975865899237,0.651063829787234,0.05790333878122811,0.0010818608005769975,2
0dOg1ySSI7NkpAe89Zo0b9,0.00015816326530612246,1.0,0.7527012016560639,0.26595744680851063,0.15713285080551015,0.12369275153263613,1
3YBZIN3rekqsKxbJc9FZko,0.022653061224489797,1.0,0.4780369584974251,0.0,0.25519495680597704,0.20771727371078258,1
3dPQuX8Gs42Y7b454ybpMR,0.24081632653061225,0.3262316910785619,0.5744723821064325,1.0,0.7104833060938595,0.15001803101334293,0
4bHsxqR3GMrXTxEPLuK5ue,0.0,0.7283621837549934,0.44673331313743325,0.4829787234042553,0.9673126313331776,0.03461954561846377,0
7Jh1bpe76CNTCgdgAdBw4Z,1.0,0.7416777629826896,0.7073614056346563,0.4595744680851064,0.1384543544244688,0.010818608005769934,1
