id,instrumentalness,energy,loudness,danceability,liveness,speechiness,tempo,valence,Cluster
1a2iF9XymafjRk56q7oCxo,0.0041666666666666675,0.6269069479781575,0.696710797562875,0.4415718717683558,0.08978710274606604,0.0511968085106383,0.6083010509358698,0.7628336755646818,0
1sxtxIKhRiQwuGpUwHoEHq,0.0370253164556962,0.7576403624332506,0.7138439690320215,0.390899689762151,0.8724673454695053,0.08949468085106382,0.6308348036207425,0.8603696098562629,0
3XxBSvDZKH5YvZZjTpn6eR,0.02362869198312236,0.4790776254789369,0.773168720509414,0.2864529472595657,0.14532551681579758,0.06582446808510639,0.25844296563362995,0.4958932238193019,0
4NQfrmGs9iQXVQI9IpRhjM,0.46624472573839665,0.4599704341355002,0.7668468551010124,0.5656670113753879,0.08186773629538209,0.03404255319148936,0.4351795029150046,0.5574948665297742,1
2SL0h7FKhJ1O5DcvmvPqU5,0.00018248945147679324,0.4428745260913727,0.7587383755554536,0.5708376421923476,0.06962871541705236,0.06023936170212766,0.622737035900583,0.5574948665297742,0
61K6lqGyrl2Aerk0LjAZem,4.535864978902954e-05,0.016683594967769184,0.5104677264189839,0.6504653567735263,0.08978710274606604,0.11077127659574468,0.8114739950905185,0.3439425051334703,1
6gJnxMZphJt3sk2JJXTkoJ,0.007025316455696202,0.3946037269079537,0.6736451509459892,0.6680455015511892,0.05697829887894683,0.3377659574468085,0.7471569116293342,0.8706365503080082,0
3ocm1Cf1Dk1ODrdBdybh82,0.012658227848101266,0.4831001920775551,0.7106830363278207,0.7352637021716649,0.009976344749562892,0.03962765957446809,0.43941776618594663,0.9075975359342917,0
5MVMARaMoclifNmBtPu0dD,0.04883966244725738,0.876306077092489,0.7350542855833981,0.5667011375387798,0.15869587575851074,0.061569148936170215,0.8252579395520098,0.9917864476386038,0
2bIfM0ZOF4gxK1BeqH3Djm,0.0018459915611814346,0.49516789187340987,0.7017041550231342,0.8190279214064117,0.056875449964002886,0.07007978723404255,0.566057456274931,0.7381930184804929,0
2Qj1FilGsXITZbFVmVeoLy,4.8839662447257386e-05,0.4961735335230644,0.7126757982500342,0.6618407445708376,0.16898076725290548,0.05492021276595745,0.5591822644983124,0.9794661190965093,0
2FtX5tOFUVOyjcGQiuGR8f,0.06856540084388185,0.9235712346262535,0.8382885152778413,0.3650465356773526,0.3037128458294765,0.10079787234042553,0.6980141531144523,0.540041067761807,0
1yKah8BCP3Vgq2tPBOLKL0,5.358649789029536e-05,0.6259013063285029,0.8479316505565989,0.33195449844881075,0.33559600946210016,0.04015957446808511,0.5146229671678428,0.7977412731006162,0
58PSYdY0GFg0LFb2PxYk4T,0.00022679324894514768,0.7365218877905048,0.7182188831371111,0.6184074457083765,0.6811683636737633,0.1293882978723404,0.5327985961951519,0.6314168377823409,0
3kkCpDqhrOEBf0eOR2igEE,0.003259493670886076,0.9074809682317804,0.8116038297677401,0.6628748707342296,0.09801501594158182,0.07207446808510638,0.5175811215096655,0.8100616016427106,0
3YGsgJqtIWKjMjZtKLk11Z,0.044092827004219404,0.7375275294401593,0.7851252920426954,0.30403309203722856,0.08567314614830814,0.2007978723404255,1.0,0.7731006160164272,0
2ROJOb98GorxStuOuZWcGd,0.05590717299578059,0.6490310642705579,0.8118328828622474,0.313340227507756,0.3993623367273475,0.06808510638297872,0.8168677124884933,0.6611909650924026,0
2hv2NiSq8p4pgL28pxcqAJ,0.001508438818565401,0.5675740906485383,0.7057583947959136,0.5749741468459153,0.07405121875964209,0.044281914893617026,0.6776666538815588,0.8809034907597537,0
2wnjZXcAT3rCjjqxLeHjv7,0.00012552742616033755,0.5263427830127013,0.7074533876952677,0.5842812823164426,0.09390105934382392,0.04853723404255319,0.8051549555078246,0.6540041067761808,0
